Name,l,b,R-Sun,Type
NGC 104,305.89,-44.89,4.5,BD
NGC 288,152.30,-89.38,8.9,OH
NGC 362,301.53,-46.25,8.6,YH
Whiting 1,161.22,-60.76,30.1,UN
NGC 1261,270.54,-52.12,16.3,YH
Pal 1,130.06,19.03,11.1,BD
E 1,258.34,-48.47,123.3,YH
Eridanus,218.10,-41.33,90.1,YH
Pal 2,170.53,-9.07,27.2,YH
NGC 1851,244.51,-35.03,12.1,OH
NGC 1904,227.23,-29.35,12.9,OH
NGC 2298,245.63,-16.00,10.8,OH
NGC 2419,180.37,25.24,82.6,OH
Ko 2,195.12,25.54,34.7,UN
Pyxis,261.32,7.00,39.4,YH
NGC 2808,282.19,-11.25,9.6,OH
E 3,292.27,-19.02,8.1,UN
Pal 3,240.15,41.86,92.5,YH
NGC 3201,277.23,8.64,4.9,YH
Pal 4,202.31,71.80,108.7,YH
Ko 1,260.99,70.75,48.3,UN
NGC 4147,252.85,77.19,19.3,SG
NGC 4372,300.99,-9.88,5.8,OH
Rup 106,300.88,11.67,21.2,YH
NGC 4590,299.63,36.05,10.3,YH
NGC 4833,303.60,-8.02,6.6,OH
NGC 5024,332.96,79.76,17.9,OH
NGC 5053,335.70,78.95,17.4,YH
NGC 5139,309.10,14.97,5.2,UN
NGC 5272,42.22,78.71,10.2,YH
NGC 5286,311.61,10.57,11.7,OH
AM 4,320.28,33.51,32.2,UN
NGC 5466,42.15,73.59,16.0,YH
NGC 5634,342.21,49.26,25.2,OH
NGC 5694,331.06,30.36,35.0,OH
IC 4499,307.35,-20.47,18.8,YH
NGC 5824,332.56,22.07,32.1,OH
Pal 5,0.85,45.86,23.2,YH
NGC 5897,342.95,30.29,12.5,OH
NGC 5904,3.86,46.80,7.5,OH
NGC 5927,326.60,4.86,7.7,BD
NGC 5946,327.58,4.19,10.6,OH
BH 176,328.41,4.34,18.9,BD
NGC 5986,337.02,13.27,10.4,OH
BH 184,328.77,-2.80,8.0,BD
Pal 14,28.74,42.19,76.5,YH
NGC 6093,352.67,19.46,10.0,OH
NGC 6121,350.97,15.97,2.2,OH
NGC 6101,317.74,-15.82,15.4,OH
NGC 6144,351.93,15.70,8.9,OH
NGC 6139,342.37,6.94,10.1,OH
Terzan 3,345.08,9.19,8.2,BD
NGC 6171,3.37,23.01,6.4,OH
ESO 452-11,351.91,12.10,8.3,YH
NGC 6205,59.01,40.91,7.1,OH
NGC 6229,73.64,40.31,30.5,YH
NGC 6218,15.72,26.31,4.8,OH
FSR 1735,339.19,-1.85,9.8,UN
NGC 6235,358.92,13.52,11.5,OH
NGC 6254,15.14,23.08,4.4,OH
NGC 6256,347.79,3.31,10.3,BD
Pal 15,18.88,24.30,45.1,OH
NGC 6266,353.57,7.32,6.8,OH
NGC 6273,356.87,9.38,8.8,OH
NGC 6284,358.35,9.94,15.3,OH
NGC 6287,0.13,11.02,9.4,OH
