name,theta_pred,theta_obs,p_inVPOS,p_gVPOS,p_gobs
Aquarius II,7.8,-19.6,0.532,0.449,0.709
Bootes I,16.1,-50.5,0.057,0.004,0.000
Bootes II,12.8,-55.8,0.014,0.001,0.000
Canes Venatici I,1.5,24.9,0.381,0.473,0.609
Canes Venatici II,4.2,-7.0,0.597,0.404,0.889
Carina I,4.7,8.0,1.000,0.000,0.354
Carina II,3.5,43.1,0.013,0.000,0.000
Carina III,7.1,9.8,1.000,0.000,0.015
Coma Berenices I,9.6,82.0,0.000,0.000,0.000
Crater I,9.6,40.9,0.335,0.489,0.436
Crater II,15.2,26.4,0.660,0.176,0.390
Draco I,10.4,18.3,0.999,0.000,0.029
Draco II,29.9,36.9,0.479,0.000,0.000
Eridanus II,9.3,-69.8,0.189,0.372,0.104
Fornax,14.6,28.2,0.874,0.003,0.026
Grus I,24.9,-89.0,0.128,0.459,0.004
Hercules,37.7,-37.8,0.000,1.000,0.944
Horologium I,1.0,4.9,0.994,0.002,0.676
Hydra II,28.9,63.7,0.145,0.600,0.199
Hydrus I,10.5,17.2,1.000,0.000,0.000
Leo I,20.4,88.3,0.229,0.490,0.011
Leo II,13.4,50.4,0.388,0.556,0.393
Leo IV,2.7,-58.1,0.395,0.444,0.237
Leo V,1.1,-19.3,0.401,0.621,0.795
Phoenix I,0.8,-40.7,0.427,0.502,0.454
Pisces II,4.6,43.9,0.330,0.580,0.515
Reticulum II,11.9,13.4,1.000,0.000,0.020
Sagittarius I,60.2,-76.1,0.000,1.000,0.000
Sculptor,5.0,-7.3,1.000,0.000,0.247
Segue 1,35.1,-35.3,0.640,0.179,1.000
Segue 2,58.7,-77.9,0.000,1.000,0.000
Sextans,14.7,66.7,0.000,0.000,0.000
Triangulum II,64.5,-65.1,0.000,1.000,0.094
Tucana II,25.3,49.7,0.001,0.004,0.000
Tucana III,6.1,-16.6,0.827,0.031,0.298
Ursa Major I,36.0,-55.1,0.001,0.555,0.003
Ursa Major II,55.4,-74.8,0.000,1.000,0.000
Ursa Minor,21.7,29.4,0.899,0.000,0.007
Willman 1,39.1,83.7,0.000,1.000,0.003
