name,reference,lon1,lat1,lon2,lat2,dist1,dist2,e_lb1,e_lb2,e_dist1,e_dist2,frame,notes
GCN,2012MNRAS.423.1109P,39.3,-31,18,47,25,11,1,3,5,1,galactic,
NGC5053,2012MNRAS.423.1109P,312.7,77.7,335.6,79,16.4,16.4,0,1,0,1.64,galactic,
Styx,2012MNRAS.423.1109P,311.5,82.8,42.7,30,38,50,1.7,1.7,7.6,10,galactic,
Magellanic,2012MNRAS.423.1109P,73.4,-68,29.4,-83.4,55,55,2,2,11,11,galactic,
Cocytos,2012MNRAS.423.1109P,289.5,59.2,41.6,29.6,11,11,1,1,2,2,galactic,
Pal5,2012MNRAS.423.1109P,355.3,45.9,22.3,36.3,23.2,23.2,0.5,0.5,2,2,galactic,
Lethe,2012MNRAS.423.1109P,232.7,67.9,41.2,30.5,12.2,13.4,0.5,0.5,2.4,2.6,galactic,
GD1,2012MNRAS.423.1109P,196.7,47.4,113.9,58.1,7.7,9.1,0.25,0.25,0.5,0.5,galactic,
Orphan,2012MNRAS.423.1109P,249.5,50,173,46.5,21.4,46.8,0.7,0.7,1,4.5,galactic,
NGC5466,2012MNRAS.423.1109P,42.2,73.6,154.9,71.8,16.3,16.3,0,2,0,3.3,galactic,
Anticentre,2012MNRAS.423.1109P,224.8,20.5,151,37.6,8.9,8.9,2.5,2.5,0.2,0.2,galactic,
Acheron,2012MNRAS.423.1109P,359.8,43.9,42.7,30,3.8,3.5,0.5,0.5,0.76,0.7,galactic,
Cetus,2012MNRAS.423.1109P,144,-71,142,-46,36.1,30.1,2,4,1.9,1.6,galactic,
