# Name                 	     RA	    DEC	   Dist	   Vlos	  eVlos	   PMRA	  PMDEC	  ePMRA	 ePMDEC	 corrPM	 Rscale	  Nstar
#                      	    deg	    deg	    kpc	   km/s	   km/s	 mas/yr	 mas/yr	 mas/yr	 mas/yr	dimless	 arcmin	dimless
NGC 104 (47 Tuc)       	  6.024	-72.081	    4.5	 -17.21	   0.18	  5.237	 -2.524	  0.039	  0.039	 -0.002	   18.3	  23917
NGC 288                	 13.188	-26.583	    8.9	 -44.83	   0.13	  4.267	 -5.636	  0.054	  0.053	  0.018	    6.0	   2555
NGC 362                	 15.809	-70.849	    8.6	 223.26	   0.28	  6.730	 -2.535	  0.053	  0.052	 -0.004	    7.8	   1741
Whiting 1              	 30.738	 -3.253	   30.1	-130.41	   1.79	 -0.234	 -1.782	  0.115	  0.094	 -0.050	    0.5	     11
NGC 1261               	 48.068	-55.216	   16.3	  71.36	   0.24	  1.632	 -2.038	  0.057	  0.057	  0.009	    4.1	    541
Pal 1                  	 53.334	 79.581	   11.1	 -75.41	   0.21	 -0.171	  0.070	  0.074	  0.081	  0.003	    0.7	     51
E 1 (AM 1)             	 58.760	-49.615	  123.3	 118.00	  14.14	  0.357	 -0.424	  0.128	  0.169	 -0.108	    0.4	     39
Eridanus               	 66.185	-21.187	   90.1	 -23.79	   1.07	  0.493	 -0.402	  0.084	  0.087	 -0.133	    0.8	     15
Pal 2                  	 71.525	 31.381	   27.2	-135.97	   1.55	  1.034	 -1.557	  0.075	  0.068	  0.009	    1.5	     76
NGC 1851               	 78.528	-40.047	   12.1	 320.30	   0.25	  2.120	 -0.589	  0.054	  0.054	 -0.007	    5.5	    786
NGC 1904 (M 79)        	 81.046	-24.525	   12.9	 205.84	   0.19	  2.467	 -1.573	  0.057	  0.058	 -0.001	    4.5	    583
NGC 2298               	102.248	-36.005	   10.8	 146.18	   0.71	  3.316	 -2.186	  0.061	  0.061	  0.001	    3.2	    444
NGC 2419               	114.535	 38.882	   82.6	 -20.67	   0.34	 -0.011	 -0.557	  0.064	  0.061	  0.010	    3.2	    131
Pyxis                  	136.991	-37.221	   39.4	  40.46	   0.21	  1.078	  0.212	  0.068	  0.071	  0.025	    2.0	     64
NGC 2808               	138.013	-64.864	    9.6	 103.90	   0.30	  1.005	  0.274	  0.051	  0.051	 -0.006	    8.4	   1837
E 3 (ESO 37-1)         	140.238	-77.282	    8.1	   4.93	   0.42	 -2.695	  7.115	  0.064	  0.064	 -0.009	    1.9	    191
Pal 3                  	151.383	  0.072	   92.5	  94.04	   0.80	  0.055	 -0.085	  0.146	  0.171	 -0.515	    0.7	     34
NGC 3201               	154.403	-46.412	    4.9	 494.34	   0.14	  8.324	 -1.991	  0.044	  0.044	  0.001	   12.5	   7021
Pal 4                  	172.320	 28.974	  108.7	  72.40	   0.24	 -0.135	 -0.518	  0.106	  0.176	 -0.471	    0.5	     32
Crater (Laevens 1)     	174.067	-10.877	  145.0	 148.30	   0.93	  0.001	 -0.130	  0.308	  0.190	 -0.181	    0.4	     10
NGC 4147               	182.526	 18.543	   19.3	 179.52	   0.33	 -1.705	 -2.114	  0.065	  0.063	 -0.014	    2.2	    248
NGC 4372               	186.439	-72.659	    5.8	  75.59	   0.30	 -6.378	  3.358	  0.050	  0.050	  0.001	    7.8	   2189
Rup 106                	189.667	-51.150	   21.2	 -38.42	   0.30	 -1.263	  0.399	  0.064	  0.063	  0.027	    2.1	    119
