name,citation,dec,dist,e_dist,abs_mag,ra,vLOS,e_vLOS,vpos_flag,fritz_flag,pm_corr,pmRA,e_pmRA,pmDE,e_pmDE,e_pm_syst
Aquarius II,Torrealba2016MNRAS.463..712T,-9.3274,107.9,3.3,-4.36,338.4813,-71.1,2.5,1,5,0.131,-0.252,0.526,0.011,0.448,0.063
Bootes I,"DallOra2006ApJ...653L.109D,Martin2008ApJ...684.1075M,Koposov2011ApJ...736..146K",14.51167,66,3.0,-6.3,210.015,102.2,0.8,2,3,0.163,-0.554,0.092,-1.111,0.068,0.035
Bootes II,"Walsh2008ApJ...688..245W,Koch2009ApJ...690..453K",12.8586,42,1.6,-2.3,209.521,-117.1,7.6,0,1,-0.186,-2.686,0.389,-0.53,0.287,0.056
Canes Venatici I,"Kuehn2008ApJ...674L..81K,Martin2008ApJ...684.1075M,Simon2007ApJ...670..313S",33.559167,210,6,-8.6,202.01625,30.9,0.6,1,4,0.105,-0.159,0.094,-0.067,0.054,0.035
Canes Venatici II,"Simon2007ApJ...670..313S,Greco2008ApJ...675L..73G,Sand2012ApJ...756...79S",34.32138056,160,7,-4.6,194.2915833,-128.9,1.2,1,5,-0.006,-0.342,0.232,-0.473,0.169,0.056
Carina I,"Karczmarek2015AJ....150...90K,McMonigal2014MNRAS.444.3139M,Walker2009AJ....137.3100W",-50.96611111111111,105.6,5.4,-8.6,100.40708333333333,222.9,0.1,1,4,0.083,0.485,0.017,0.131,0.016,0.035
Carina II,"Torrealba2018MNRAS.475.5085T,Li2018ApJ...857..145L",-57.9991,37.4,0.4,-4.5,114.1066,477.2,1.2,0,1,-0.008,1.867,0.078,0.082,0.072,0.035
Carina III,"Torrealba2018MNRAS.475.5085T,Li2018ApJ...857..145L",-57.8997,27.8,0.6,-2.4,114.6298,284.6,3.25,1,4,0.066,3.046,0.119,1.565,0.135,0.057
Coma Berenices I,"Munoz2010AJ....140..138M,Musella2009ApJ...695L..83M,Simon2007ApJ...670..313S",23.907555555555554,42,1.5,-3.8,186.74583333333334,98.1,0.9,0,1,-0.427,0.471,0.108,-1.716,0.104,0.035
Crater II,"Caldwell2017ApJ...839...20C,Torrealba2016MNRAS.459.2370T",-18.413,117.5,1.1,-8.2,177.31,87.5,0.4,1,4,-0.041,-0.184,0.061,-0.106,0.031,0.035
Draco I,"Walker2015MNRAS.448.2717W,Bonanos2004AJ....127..861B",57.965,76,6,-8.75,260.06,-291.0,0.1,1,4,0.131,-0.012,0.013,-0.158,0.015,0.035
Draco II,"Laevens2015ApJ...813...44L,Martin2016MNRAS.459.2370T",64.5653,20,3.0,-2.9,238.198,-347.6,1.75,1,4,-0.591,1.242,0.276,0.845,0.285,0.057
